,Alligator,Anvil,Axe,Blindworm,Boapython,Caiman,Chameleon,Chisel,Cobra,Crocodile,Dinosaur,Gecko,Grindingdisk,Hammer,Knife,LawnMower,Lizard,Nail,Oilcan,Paintbrush,Salamander,Saw,Screwdriver,Shovel,Snake,Spanner,Toad,Tortoise,Turtle,Vacuum
Alligator,7,4,4,4,4,5,4,4,1,6,4,4,1,4,1,4,4,4,4,1,4,1,4,4,4,4,4,4,4,4
Anvil,4,6,4,4,4,1,4,6,4,2,3,4,3,6,3,4,3,4,3,4,6,6,4,4,4,4,6,4,4,4
Axe,3,4,4,4,4,4,6,3,3,3,3,4,1,4,4,4,3,3,3,4,4,4,4,4,1,5,4,5,4,4
Blindworm,3,4,4,1,3,4,4,4,4,4,3,4,1,4,4,4,4,1,4,4,4,5,4,4,3,4,4,4,4,4
Boapython,4,4,4,3,6,3,4,4,2,1,1,4,4,4,4,4,3,4,4,4,3,4,4,3,3,4,3,3,4,3
Caiman,3,4,4,3,4,4,3,4,1,6,1,4,3,4,4,3,4,4,4,6,3,4,4,6,4,4,4,4,4,4
Chameleon,4,4,4,3,4,4,4,6,4,3,4,4,6,4,4,4,6,4,4,4,4,6,4,1,4,3,4,4,4,1
Chisel,1,5,4,3,4,4,4,6,5,4,3,4,4,6,4,4,4,2,4,4,6,4,5,6,4,4,4,4,4,4
Cobra,4,4,6,3,3,3,4,4,6,4,4,4,3,5,7,5,4,4,4,4,4,6,4,4,4,4,4,2,4,4
Crocodile,3,4,3,4,4,4,4,4,3,7,1,4,3,3,3,3,4,3,4,5,3,4,4,4,6,4,3,4,4,4
Dinosaur,1,7,4,4,3,3,4,1,3,4,7,4,4,3,4,4,6,4,4,4,3,4,4,4,4,4,4,4,4,4
Gecko,4,4,4,4,4,4,6,6,1,4,4,4,4,6,4,4,6,4,4,4,4,4,4,4,3,4,4,4,4,4
Grindingdisk,1,6,4,3,4,4,3,4,3,3,1,4,4,3,6,3,4,4,4,4,5,4,4,5,4,4,4,4,4,3
Hammer,1,4,4,1,4,4,4,4,3,4,3,4,3,7,4,4,4,4,4,4,4,4,5,4,5,3,4,4,4,4
Knife,3,4,6,1,4,4,3,4,3,1,1,4,4,4,7,4,1,4,4,4,4,5,4,6,4,4,3,4,4,2
LawnMower,1,1,4,3,4,3,4,4,3,1,1,4,3,4,4,6,1,4,4,4,4,4,4,4,1,4,4,4,2,4
Lizard,4,4,3,3,4,3,6,4,3,3,3,6,4,4,4,3,7,3,4,4,6,4,4,4,3,4,4,4,4,4
Nail,2,6,1,1,4,4,3,1,3,1,1,5,4,6,4,1,4,6,4,4,4,4,4,4,4,4,6,4,4,4
Oilcan,4,4,6,4,4,4,4,4,3,4,4,4,4,5,4,4,1,4,7,4,4,4,4,4,4,4,4,5,5,5
Paintbrush,1,6,4,4,4,4,4,6,1,1,5,4,1,4,4,4,3,4,4,6,4,4,4,3,4,4,4,4,4,4
Salamander,4,4,4,4,2,4,4,3,1,1,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4,3,3,4,2
Saw,3,4,4,4,3,3,4,5,1,3,4,4,4,3,3,3,3,4,4,4,3,4,2,4,4,4,3,4,3,1
Screwdriver,4,4,6,4,4,3,4,6,4,1,1,4,4,4,4,2,4,4,6,4,3,4,7,4,4,4,4,4,4,4
Shovel,3,4,6,4,4,4,4,4,3,4,5,4,3,6,4,4,4,4,3,6,4,6,4,6,4,4,4,4,4,4
Snake,4,4,4,4,4,4,6,4,4,2,4,4,4,4,5,4,4,3,4,4,3,1,4,3,7,3,3,4,4,3
Spanner,4,4,4,4,4,4,4,4,5,3,1,4,4,4,4,3,2,4,4,4,4,4,4,3,4,1,4,4,3,4
Toad,1,1,3,4,4,4,4,3,3,6,4,2,1,3,4,4,4,4,3,1,3,4,4,1,4,4,4,4,4,1
Tortoise,3,1,3,4,4,4,3,4,1,1,1,4,3,4,4,3,3,3,3,4,4,4,4,5,1,4,4,7,4,4
Turtle,4,4,4,4,4,6,3,4,1,3,4,6,4,4,4,4,4,3,4,4,4,4,4,4,1,4,6,6,7,1
Vacuum,4,4,4,4,4,3,4,3,4,3,4,4,1,4,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4,7
