"Answer using only one word - plum or golfball and not brussel sprout, which is more similar to brussel sprout in terms of size?",plum
"Answer using only one word - onion or golfball and not baseball, which is more similar to baseball in terms of size?",Golfball
"Answer using only one word - peach or soccer ball and not watermelon, which is more similar to watermelon in terms of size?",peach
"Answer using only one word - pumpkin or squash ball and not billiard ball, which is more similar to billiard ball in terms of size?",Pumpkin
"Answer using only one word - rubber ball or tomato and not tennis ball, which is more similar to tennis ball in terms of size?",rubber ball
"Answer using only one word - watermelon or basketball and not medicine ball, which is more similar to medicine ball in terms of size?",Watermelon
"Answer using only one word - cantaloupe or MacIntosh apple and not baseball, which is more similar to baseball in terms of size?",cantaloupe
"Answer using only one word - blueberry or peach and not baseball, which is more similar to baseball in terms of size?",Blueberry
"Answer using only one word - basketball or squash ball and not rubber ball, which is more similar to rubber ball in terms of size?",Basketball
"Answer using only one word - onion or cherry and not tennis ball, which is more similar to tennis ball in terms of size?",Onion
"Answer using only one word - brussel sprout or baseball and not walnut, which is more similar to walnut in terms of size?",brussel sprout
"Answer using only one word - tennis ball or crab apple and not clementine, which is more similar to clementine in terms of size?",tennis ball
"Answer using only one word - walnut or golfball and not onion, which is more similar to onion in terms of size?",Walnut
"Answer using only one word - cherry or pea and not wiffle ball, which is more similar to wiffle ball in terms of size?",pea
"Answer using only one word - olive or golfball and not grapefruit, which is more similar to grapefruit in terms of size?",olive
"Answer using only one word - radish or wiffle ball and not croquet ball, which is more similar to croquet ball in terms of size?",Radish
"Answer using only one word - orange or tennis ball and not baseball, which is more similar to baseball in terms of size?",Orange
"Answer using only one word - wiffle ball or beach ball and not soccer ball, which is more similar to soccer ball in terms of size?",beach ball
"Answer using only one word - nectarine or plum and not crab apple, which is more similar to crab apple in terms of size?",Nectarine
"Answer using only one word - watermelon or clementine and not cherry, which is more similar to cherry in terms of size?",Clementine
"Answer using only one word - volleyball or baseball and not grapefruit, which is more similar to grapefruit in terms of size?",volleyball
"Answer using only one word - grape or billiard ball and not cherry, which is more similar to cherry in terms of size?",grape
"Answer using only one word - hocky ball or lemon and not plum, which is more similar to plum in terms of size?",hockey ball
"Answer using only one word - cherry or wiffle ball and not tomato, which is more similar to tomato in terms of size?",Cherry
"Answer using only one word - medicine ball or lime and not blueberry, which is more similar to blueberry in terms of size?",medicine ball
"Answer using only one word - volleyball or medicine ball and not bowling ball, which is more similar to bowling ball in terms of size?",Volleyball
"Answer using only one word - watermelon or tomato and not radish, which is more similar to radish in terms of size?",Watermelon
"Answer using only one word - pea or onion and not croquet ball, which is more similar to croquet ball in terms of size?",Onion
"Answer using only one word - radish or crab apple and not kiwi, which is more similar to kiwi in terms of size?",Radish
"Answer using only one word - bowling ball or peach and not tomato, which is more similar to tomato in terms of size?",Peach
"Answer using only one word - golfball or baseball and not medicine ball, which is more similar to medicine ball in terms of size?",golfball
"Answer using only one word - tennis ball or onion and not medicine ball, which is more similar to medicine ball in terms of size?",tennis ball
"Answer using only one word - baseball or cantaloupe and not olive, which is more similar to olive in terms of size?",Cantaloupe
"Answer using only one word - orange or walnut and not basketball, which is more similar to basketball in terms of size?",Walnut
"Answer using only one word - lime or peach and not grapefruit, which is more similar to grapefruit in terms of size?",Peach
"Answer using only one word - clementine or tennis ball and not soccer ball, which is more similar to soccer ball in terms of size?",clementine
"Answer using only one word - super ball or golfball and not squash ball, which is more similar to squash ball in terms of size?",super ball
"Answer using only one word - onion or yoga ball and not pumpkin, which is more similar to pumpkin in terms of size?",yoga ball
"Answer using only one word - wiffle ball or pumpkin and not clementine, which is more similar to clementine in terms of size?",Pumpkin
"Answer using only one word - volleyball or tomato and not grapefruit, which is more similar to grapefruit in terms of size?",volleyball
"Answer using only one word - bowling ball or grape and not tomato, which is more similar to tomato in terms of size?",grape
"Answer using only one word - baseball or cherry and not pea, which is more similar to pea in terms of size?",Cherry
"Answer using only one word - billiard ball or rubber ball and not globe, which is more similar to globe in terms of size?",billiard ball
"Answer using only one word - croquet ball or cantaloupe and not golfball, which is more similar to golfball in terms of size?",cantaloupe
"Answer using only one word - grapefruit or bowling ball and not MacIntosh apple, which is more similar to MacIntosh apple in terms of size?",Grapefruit
"Answer using only one word - crab apple or hocky ball and not grapefruit, which is more similar to grapefruit in terms of size?",Crab apple
"Answer using only one word - croquet ball or Granny Smith apple and not hocky ball, which is more similar to hocky ball in terms of size?",croquet ball
"Answer using only one word - wiffle ball or bowling ball and not MacIntosh apple, which is more similar to MacIntosh apple in terms of size?",wiffle ball
"Answer using only one word - beach ball or wiffle ball and not blueberry, which is more similar to blueberry in terms of size?",beach ball
"Answer using only one word - clementine or softball and not beach ball, which is more similar to beach ball in terms of size?",Clementine
"Answer using only one word - Granny Smith apple or wiffle ball and not pumpkin, which is more similar to pumpkin in terms of size?",Apple
"Answer using only one word - orange or rubber ball and not soccer ball, which is more similar to soccer ball in terms of size?",Rubber ball
"Answer using only one word - bowling ball or onion and not yoga ball, which is more similar to yoga ball in terms of size?",bowling ball
"Answer using only one word - marble or pingpong ball and not pea, which is more similar to pea in terms of size?",marble
"Answer using only one word - squash ball or MacIntosh apple and not pea, which is more similar to pea in terms of size?",MacIntosh apple
"Answer using only one word - croquet ball or bowling ball and not lime, which is more similar to lime in terms of size?",bowling ball
"Answer using only one word - crab apple or pingpong ball and not baseball, which is more similar to baseball in terms of size?",pingpong ball
"Answer using only one word - nectarine or orange and not bowling ball, which is more similar to bowling ball in terms of size?",Nectarine
"Answer using only one word - soccer ball or volleyball and not wiffle ball, which is more similar to wiffle ball in terms of size?",volleyball
"Answer using only one word - yoga ball or cherry and not golfball, which is more similar to golfball in terms of size?",yoga ball
"Answer using only one word - softball or bowling ball and not walnut, which is more similar to walnut in terms of size?",Softball
"Answer using only one word - soccer ball or onion and not brussel sprout, which is more similar to brussel sprout in terms of size?",soccer ball
"Answer using only one word - squash ball or volleyball and not grape, which is more similar to grape in terms of size?",Squash ball
"Answer using only one word - clementine or marble and not cantaloupe, which is more similar to cantaloupe in terms of size?",Clementine
"Answer using only one word - rubber ball or soccer ball and not grapefruit, which is more similar to grapefruit in terms of size?",ball
"Answer using only one word - wiffle ball or brussel sprout and not golfball, which is more similar to golfball in terms of size?",Wiffle ball
"Answer using only one word - globe or orange and not medicine ball, which is more similar to medicine ball in terms of size?",Globe
"Answer using only one word - globe or olive and not volleyball, which is more similar to volleyball in terms of size?",olive
"Answer using only one word - olive or beach ball and not medicine ball, which is more similar to medicine ball in terms of size?",beach ball
"Answer using only one word - globe or radish and not baseball, which is more similar to baseball in terms of size?",Globe
"Answer using only one word - MacIntosh apple or clementine and not cherry, which is more similar to cherry in terms of size?",Apple
"Answer using only one word - clementine or orange and not onion, which is more similar to onion in terms of size?",Clementine
