brussel sprout,plum,golfball
baseball,onion,golfball
watermelon,peach,soccer ball
billiard ball,pumpkin,squash ball
tennis ball,rubber ball,tomato
medicine ball,watermelon,basketball
baseball,cantaloupe,MacIntosh apple
baseball,blueberry,peach
rubber ball,basketball,squash ball
tennis ball,onion,cherry
walnut,brussel sprout,baseball
clementine,tennis ball,crab apple
onion,walnut,golfball
wiffle ball,cherry,pea
grapefruit,olive,golfball
croquet ball,radish,wiffle ball
baseball,orange,tennis ball
soccer ball,wiffle ball,beach ball
crab apple,nectarine,plum
cherry,watermelon,clementine
grapefruit,volleyball,baseball
cherry,grape,billiard ball
plum,hocky ball,lemon
tomato,cherry,wiffle ball
blueberry,medicine ball,lime
bowling ball,volleyball,medicine ball
radish,watermelon,tomato
croquet ball,pea,onion
kiwi,radish,crab apple
tomato,bowling ball,peach
medicine ball,golfball,baseball
medicine ball,tennis ball,onion
olive,baseball,cantaloupe
basketball,orange,walnut
grapefruit,lime,peach
soccer ball,clementine,tennis ball
squash ball,super ball,golfball
pumpkin,onion,yoga ball
clementine,wiffle ball,pumpkin
grapefruit,volleyball,tomato
tomato,bowling ball,grape
pea,baseball,cherry
globe,billiard ball,rubber ball
golfball,croquet ball,cantaloupe
MacIntosh apple,grapefruit,bowling ball
grapefruit,crab apple,hocky ball
hocky ball,croquet ball,Granny Smith apple
MacIntosh apple,wiffle ball,bowling ball
blueberry,beach ball,wiffle ball
beach ball,clementine,softball
pumpkin,Granny Smith apple,wiffle ball
soccer ball,orange,rubber ball
yoga ball,bowling ball,onion
pea,marble,pingpong ball
pea,squash ball,MacIntosh apple
lime,croquet ball,bowling ball
baseball,crab apple,pingpong ball
bowling ball,nectarine,orange
wiffle ball,soccer ball,volleyball
golfball,yoga ball,cherry
walnut,softball,bowling ball
brussel sprout,soccer ball,onion
grape,squash ball,volleyball
cantaloupe,clementine,marble
grapefruit,rubber ball,soccer ball
golfball,wiffle ball,brussel sprout
medicine ball,globe,orange
volleyball,globe,olive
medicine ball,olive,beach ball
baseball,globe,radish
cherry,MacIntosh apple,clementine
onion,clementine,orange
croquet ball,billiard ball,radish
pea,croquet ball,medicine ball
medicine ball,croquet ball,grape
wiffle ball,lemon,hocky ball
bowling ball,walnut,cantaloupe
tennis ball,wiffle ball,lemon
cantaloupe,blueberry,onion
volleyball,grape,orange
billiard ball,crab apple,kiwi
yoga ball,cantaloupe,grape
bowling ball,rubber ball,clementine
kiwi,medicine ball,basketball
lime,brussel sprout,softball
kiwi,blueberry,medicine ball
soccer ball,crab apple,basketball
cantaloupe,lime,pingpong ball
brussel sprout,peach,hocky ball
volleyball,clementine,beach ball
yoga ball,pingpong ball,billiard ball
blueberry,soccer ball,crab apple
crab apple,plum,lime
plum,lemon,Granny Smith apple
tennis ball,hocky ball,soccer ball
pingpong ball,Granny Smith apple,orange
bowling ball,walnut,olive
squash ball,Granny Smith apple,globe
soccer ball,pea,rubber ball
plum,blueberry,MacIntosh apple
golfball,radish,Granny Smith apple
pea,tomato,grape
cherry,squash ball,radish
crab apple,tomato,squash ball
squash ball,soccer ball,billiard ball
peach,yoga ball,crab apple
olive,grape,tennis ball
Granny Smith apple,golfball,lime
basketball,orange,beach ball
bowling ball,orange,kiwi
baseball,peach,marble
tennis ball,lemon,peach
peach,cantaloupe,cherry
orange,crab apple,croquet ball
pea,walnut,blueberry
radish,yoga ball,wiffle ball
globe,lime,croquet ball
cantaloupe,onion,wiffle ball
pumpkin,softball,lime
grape,lime,clementine
baseball,lime,walnut
brussel sprout,olive,golfball
medicine ball,yoga ball,kiwi
marble,tennis ball,softball
nectarine,hocky ball,yoga ball
billiard ball,grape,tomato
pingpong ball,squash ball,beach ball
olive,radish,orange
onion,globe,croquet ball
pumpkin,croquet ball,softball
clementine,pingpong ball,plum
peach,MacIntosh apple,lime
grapefruit,cherry,tennis ball
tennis ball,croquet ball,marble
beach ball,soccer ball,marble
peach,tomato,cantaloupe
clementine,beach ball,super ball
beach ball,yoga ball,walnut
squash ball,billiard ball,clementine
beach ball,soccer ball,baseball
grape,cherry,peach
pumpkin,Granny Smith apple,MacIntosh apple
Granny Smith apple,volleyball,lemon
rubber ball,softball,beach ball
beach ball,clementine,pingpong ball
grape,lime,plum
walnut,wiffle ball,squash ball
marble,orange,grapefruit
pea,wiffle ball,softball
watermelon,crab apple,softball
medicine ball,pumpkin,golfball
clementine,onion,hocky ball
marble,yoga ball,clementine
super ball,baseball,kiwi
brussel sprout,super ball,walnut
golfball,billiard ball,tennis ball
softball,cherry,wiffle ball
